날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2022-05-03,24,19,27,43,15,20,46,32,36,46,12,11
2022-05-04,10,10,22,41,10,15,20,27,62,33,13,19
2022-05-05,7,13,12,22,9,13,20,31,21,26,8,12
2022-05-06,10,12,18,28,5,11,22,19,24,35,8,26
2022-05-07,10,5,10,20,6,0,10,25,21,23,8,12
2022-05-08,3,4,12,23,14,13,28,24,32,35,13,29
2022-05-09,7,18,22,41,14,36,34,47,64,59,11,34
2022-05-10,7,15,17,40,10,45,22,31,45,60,12,29
2022-05-11,17,13,20,43,9,29,24,36,40,44,16,34
2022-05-12,17,18,28,36,13,44,14,32,49,46,12,29
2022-05-13,0,14,13,40,13,15,6,24,46,50,7,15
2022-05-14,3,10,14,41,6,27,12,23,31,19,7,30
2022-05-15,14,8,14,27,10,22,26,23,27,29,8,27
2022-05-16,7,18,19,43,9,47,16,43,45,55,15,27
2022-05-17,17,13,28,32,13,7,14,35,53,44,15,40
2022-05-18,14,21,28,49,13,25,20,36,49,48,9,39
2022-05-19,7,14,19,51,11,16,22,30,42,37,8,32
2022-05-20,14,13,19,37,6,36,16,23,39,40,8,18
2022-05-21,14,4,14,19,5,5,4,43,30,26,6,18
2022-05-22,10,9,15,30,5,33,10,24,33,24,7,32
2022-05-23,17,14,21,40,12,13,8,15,45,70,10,27
2022-05-24,38,11,26,45,7,16,38,21,38,35,10,19
2022-05-25,14,18,24,27,7,16,12,39,43,43,8,31
2022-05-26,17,34,28,46,6,13,12,23,39,41,10,29
2022-05-27,14,7,24,36,6,18,30,20,39,24,9,42
2022-05-28,7,10,16,26,7,22,20,18,23,14,6,35
2022-05-29,31,8,15,29,7,51,14,13,37,36,10,44
2022-05-30,10,15,36,53,12,42,14,26,44,43,9,37
2022-05-31,21,7,37,68,12,4,28,24,46,43,9,14
2022-06-01,14,10,22,33,6,35,18,23,50,30,7,24
2022-06-02,31,17,40,63,7,38,56,28,50,45,12,13
2022-06-03,72,15,38,54,9,18,36,41,34,40,7,32
2022-06-04,14,16,20,27,3,11,8,24,33,26,7,10
2022-06-05,3,19,14,21,7,15,24,13,30,23,9,16
2022-06-06,10,14,23,24,4,5,10,60,28,33,7,27
2022-06-07,28,13,40,34,13,9,14,31,38,49,13,17
